Ticker,Sector,MonthlyReturn_mean,MonthlyReturn_std,Volatility_mean,SharpeRatio,InvestmentProfile
AAPL,Technology,1.84,7.13,12.11,0.2581,游릭 MODERATE GROWTH - Balanced
AMZN,Technology,0.66,8.9,14.38,0.0742,游리 MODERATE RISK - Watch
BAC,Financial,1.42,8.13,12.8,0.1747,游리 MODERATE RISK - Watch
CVX,Energy,1.25,8.04,11.33,0.1555,游리 MODERATE RISK - Watch
GOOGL,Technology,2.43,8.02,13.74,0.303,游릭 MODERATE GROWTH - Balanced
GS,Financial,2.58,8.26,12.89,0.3123,游릭 MODERATE GROWTH - Balanced
JNJ,Healthcare,0.81,4.56,7.61,0.1776,游릭 STABLE GROWTH - Conservative
JPM,Financial,1.99,7.13,11.18,0.2791,游릭 MODERATE GROWTH - Balanced
KO,Consumer,0.76,4.77,7.12,0.1593,游릭 STABLE GROWTH - Conservative
MSFT,Technology,1.34,6.19,10.8,0.2165,游리 MODERATE RISK - Watch
NVDA,Technology,5.19,14.36,23.11,0.3614,游리 HIGH GROWTH - Aggressive
PFE,Healthcare,-0.3,6.71,11.8,-0.0447,游댮 DECLINING - Avoid
SPY,Index,1.21,4.43,7.03,0.2731,游릭 STABLE GROWTH - Conservative
UNH,Healthcare,0.41,8.7,12.2,0.0471,游리 MODERATE RISK - Watch
WMT,Consumer,1.4,5.54,9.0,0.2527,游릭 STABLE GROWTH - Conservative
XOM,Energy,2.11,7.63,12.14,0.2765,游릭 MODERATE GROWTH - Balanced